uid,text,type,type,readability,Analytic,adj,Affect
11,"""The Hilton Chicago exceeded all of my expectations. The staff was incredibly friendly and helpful, and the room was beautifully appointed and extremely comfortable. The location was perfect, with easy access to all of the city's best attractions. I highly recommend this hotel to anyone visiting Chicago.""",chatGPT,chatGPT,38.30875,77.99,8.51,12.77
12,"""The Hilton Chicago is a true gem in the heart of the city. The rooms are spacious and well-appointed, with all the amenities you could need. The staff is friendly and attentive, and the location is unbeatable. I had a wonderful stay and would definitely return.""",chatGPT,chatGPT,67.10875,82.28,8.7,6.52
13,"""I recently stayed at The Hilton Chicago and it was a fantastic experience. The room was clean and comfortable, with great views of the city. The staff was friendly and accommodating, and the location was perfect for exploring the city. I highly recommend this hotel.""",chatGPT,chatGPT,56.29625,86.15,13.33,15.56
14,"""The Hilton Chicago is a fantastic choice for a stay in the city. The rooms are well-appointed and comfortable, and the staff is friendly and helpful. The location is great, with easy access to all the best attractions. I had a great stay and would definitely return.""",chatGPT,chatGPT,69.5175,92.17,12.77,12.77
15,"""I recently stayed at The Hilton Chicago and it was a wonderful experience. The room was clean and comfortable, and the staff was friendly and helpful. The location was perfect for exploring the city, and I loved being close to all the best attractions. I highly recommend this hotel.""",chatGPT,chatGPT,61.458393,68.5,14.29,16.33
16,"""The Hilton Chicago is a great choice for a stay in the city. The rooms are spacious and comfortable, and the staff is friendly and helpful. The location is perfect for exploring the city, and I loved being close to all the best attractions. I would definitely stay here again.""",chatGPT,chatGPT,70.6315,82.95,12,12
17,"""I recently stayed at The Hilton Chicago and it was a fantastic experience. The room was clean and comfortable, and the staff was friendly and helpful. The location was perfect for exploring the city, and I loved being close to all the best attractions. I highly recommend this hotel.""",chatGPT,chatGPT,61.458393,68.5,14.29,16.33
18,"""The Hilton Chicago is a great choice for a stay in the city. The rooms are well-appointed and comfortable, and the staff is friendly and helpful. The location is perfect for exploring the city, and I loved being close to all the best attractions. I would definitely stay here again.""",chatGPT,chatGPT,69.481985,82.95,12,12
19,"""I recently stayed at The Hilton Chicago and it was a wonderful experience. The room was clean and comfortable, and the staff was friendly and helpful. The location was perfect for exploring the city, and I loved being close to all the best attractions. I highly recommend this hotel.""",chatGPT,chatGPT,61.458393,68.5,14.29,16.33
20,"""The Hilton Chicago is a fantastic choice for a stay in the city. The rooms are well-appointed and comfortable, and the staff is friendly and helpful. The location is perfect for exploring the city, and I loved being close to all the best attractions. I had a great stay and would definitely return.""",chatGPT,chatGPT,67.799167,86.71,13.21,13.21
21,"""I had an amazing stay at the Affinia Chicago. The room was spacious and comfortable, and the staff were incredibly friendly and helpful. The location was also great, with easy access to all the city's best attractions. I would highly recommend this hotel to anyone visiting Chicago.""",chatGPT,chatGPT,50.90875,67.32,8.51,12.77
22,"""I recently stayed at the Affinia Chicago and was extremely impressed by the level of service and comfort provided. The staff were friendly and attentive, the room was clean and well-appointed, and the location was perfect for exploring the city. I would definitely stay here again.""",chatGPT,chatGPT,54.133333,60.52,10.87,10.87
23,"""The Affinia Chicago exceeded all of my expectations. The staff were friendly and welcoming, the room was clean and comfortable, and the hotel's location was ideal for experiencing all the city has to offer. I would highly recommend this hotel to anyone visiting Chicago.""",chatGPT,chatGPT,40.052879,76.99,9.09,11.36
24,"""I had a fantastic stay at the Affinia Chicago. The staff were friendly and helpful, the room was clean and comfortable, and the hotel's location was perfect for accessing all of the city's best attractions. I would definitely stay here again.""",chatGPT,chatGPT,58.841382,69.71,14.63,14.63
25,"""I recently stayed at the Affinia Chicago and was very impressed by the high level of service and comfort provided. The staff were friendly and attentive, the room was spacious and well-appointed, and the location was perfect for exploring the city. I would highly recommend this hotel to anyone visiting Chicago.""",chatGPT,chatGPT,47.699359,74.58,9.8,9.8
26,"""The Affinia Chicago was a great choice for my recent trip. The staff were friendly and helpful, the room was clean and comfortable, and the hotel's location was perfect for experiencing all the city has to offer. I would definitely stay here again.""",chatGPT,chatGPT,60.468062,64.59,11.63,13.95
27,"""I had a wonderful stay at the Affinia Chicago. The staff were friendly and helpful, the room was clean and comfortable, and the hotel's location was perfect for experiencing all the city has to offer. I would highly recommend this hotel to anyone visiting Chicago.""",chatGPT,chatGPT,48.73,77.34,11.11,15.56
28,"""I recently stayed at the Affinia Chicago and was extremely impressed by the high level of service and comfort provided. The staff were attentive and helpful, the room was spacious and well-appointed, and the location was perfect for exploring the city. I would definitely stay here again.""",chatGPT,chatGPT,53.12,61.33,8.51,8.51
29,"""The Affinia Chicago was a fantastic choice for my recent trip to the city. The staff were friendly and attentive, the room was clean and comfortable, and the hotel's location was perfect for accessing all of the city's best attractions. I would definitely stay here again.""",chatGPT,chatGPT,57.015145,82.28,15.22,10.87
30,"""I had an amazing experience at the Affinia Chicago. The staff were friendly and attentive, the room was clean and comfortable, and the hotel's location was perfect for experiencing all the city has to offer. I would definitely stay here again on my next trip to Chicago.""",chatGPT,chatGPT,50.533333,72.91,12.77,10.64
31,"""The Affinia Chicago exceeded my expectations. The staff was incredibly friendly and welcoming, and the room was beautifully appointed and extremely comfortable. The location was perfect, with easy access to all the best attractions in the city. I highly recommend this hotel to anyone visiting Chicago.""",chatGPT,chatGPT,33.319022,77.67,8.7,13.04
32,"""The Affinia Chicago is a true gem in the heart of the city. The rooms are spacious and well-appointed, with all the amenities you could need. The staff is friendly and attentive, and the location is unbeatable. I had a wonderful stay and would definitely return.""",chatGPT,chatGPT,65.30875,82.28,8.7,6.52
33,"""I recently stayed at The Affinia Chicago and it was a fantastic experience. The room was clean and comfortable, with great views of the city. The staff was friendly and helpful, and the location was perfect for exploring the city. I highly recommend this hotel.""",chatGPT,chatGPT,60.05625,86.15,13.33,17.78
34,"""The Affinia Chicago is a fantastic choice for a stay in the city. The rooms are well-appointed and comfortable, and the staff is friendly and helpful. The location is great, with easy access to all the best attractions. I had a great stay and would definitely return.""",chatGPT,chatGPT,67.755,92.17,12.77,12.77
35,"""I recently stayed at The Affinia Chicago and it was a wonderful experience. The room was clean and comfortable, and the staff was friendly and helpful. The location was perfect for exploring the city, and I loved being close to all the best attractions. I highly recommend this hotel.""",chatGPT,chatGPT,59.731862,68.5,14.29,16.33
36,"""The Affinia Chicago is a great choice for a stay in the city. The rooms are spacious and comfortable, and the staff is friendly and helpful. The location is perfect for exploring the city, and I loved being close to all the best attractions. I would definitely stay here again.""",chatGPT,chatGPT,68.9395,82.95,12,12
37,"""I recently stayed at The Affinia Chicago and it was a fantastic experience. The room was clean and comfortable, and the staff was friendly and helpful. The location was perfect for exploring the city, and I loved being close to all the best attractions. I highly recommend this hotel.""",chatGPT,chatGPT,59.731862,68.5,14.29,16.33
38,"""The Affinia Chicago is a great choice for a stay in the city. The rooms are well-appointed and comfortable, and the staff is friendly and helpful. The location is perfect for exploring the city, and I loved being close to all the best attractions. I would definitely stay here again.""",chatGPT,chatGPT,67.823162,82.95,12,12
39,"""I recently stayed at The Affinia Chicago and it was a wonderful experience. The room was clean and comfortable, and the staff was friendly and helpful. The location was perfect for exploring the city, and I loved being close to all the best attractions. I highly recommend this hotel.""",chatGPT,chatGPT,59.731862,68.5,14.29,16.33
40,"""The Affinia Chicago is a fantastic choice for a stay in the city. The rooms are well-appointed and comfortable, and the staff is friendly and helpful. The location is perfect for exploring the city, and I loved being close to all the best attractions. I had a great stay and would definitely return.""",chatGPT,chatGPT,66.2325,86.71,13.21,13.21
41,"""I recently stayed at the Hotel Allegro Chicago and was extremely impressed by the high level of service and comfort provided. The staff were friendly and attentive, the room was clean and well-appointed, and the location was perfect for exploring the city. I would highly recommend this hotel to anyone visiting Chicago.""",chatGPT,chatGPT,46.839182,74.95,11.54,11.54
42,"""The Hotel Allegro Chicago exceeded all of my expectations. The staff were friendly and welcoming, the room was clean and comfortable, and the hotel's location was ideal for experiencing all the city has to offer. I would definitely stay here again.""",chatGPT,chatGPT,46.460894,62.96,9.76,9.76
43,"""I had a fantastic stay at the Hotel Allegro Chicago. The staff were friendly and helpful, the room was clean and comfortable, and the hotel's location was perfect for accessing all of the city's best attractions. I would highly recommend this hotel to anyone visiting Chicago.""",chatGPT,chatGPT,49.658623,82.28,13.04,15.22
44,"""I recently stayed at the Hotel Allegro Chicago and was very impressed by the high level of service and comfort provided. The staff were friendly and attentive, the room was spacious and well-appointed, and the location was perfect for exploring the city. I would definitely stay here again.""",chatGPT,chatGPT,53.860748,62.1,10.42,8.33
45,"""I recently had the pleasure of staying at Hotel Allegro Chicago and it was a truly exceptional experience. The room was beautifully appointed, with comfortable beds, and all the amenities I could need. The staff was friendly, professional and always willing to go above and beyond to make my stay enjoyable. The location is perfect, with easy access to all the city's best attractions. The hotel's amenities were top-notch, from the fitness center to the on-site restaurant. I would highly recommend this hotel to anyone visiting Chicago, and I know I will definitely be back for my next trip to the city.""",chatGPT,chatGPT,50.139744,81.16,6.86,7.84
46,"""I recently stayed at the Hotel Allegro Chicago and had a fantastic experience. The staff were incredibly friendly and helpful, the room was clean and comfortable, and the location was perfect for accessing all of the city's best attractions. I would highly recommend this hotel to anyone visiting Chicago.""",chatGPT,chatGPT,40.048503,73.79,12.24,14.29
47,"""The Hotel Allegro Chicago exceeded all of my expectations. The staff were friendly and welcoming, the room was spacious and well-appointed, and the hotel's location was ideal for experiencing all the city has to offer. I would definitely stay here again.""",chatGPT,chatGPT,47.596429,62.96,4.88,4.88
48,"""I had an amazing experience at the Hotel Allegro Chicago. The staff were friendly and attentive, the room was clean and comfortable, and the hotel's location was perfect for experiencing all the city has to offer. I would highly recommend this hotel to anyone visiting Chicago.""",chatGPT,chatGPT,40.462971,77.67,10.87,13.04
49,"""I recently stayed at the Hotel Allegro Chicago and was very impressed by the high level of service and comfort provided. The staff were friendly and helpful, the room was spacious and well-appointed, and the location was perfect for exploring the city. I would definitely stay here again.""",chatGPT,chatGPT,55.587279,62.1,8.33,10.42
50,"""The Hotel Allegro Chicago was a great choice for my recent trip. The staff were friendly and helpful, the room was clean and comfortable, and the hotel's location was perfect for experiencing all the city has to offer. I would highly recommend this hotel to anyone visiting Chicago.""",chatGPT,chatGPT,51.3575,78.28,10.42,14.58
51,"""I had a wonderful stay at the Hotel Allegro Chicago. The staff were friendly and attentive, the room was clean and comfortable, and the hotel's location was perfect for experiencing all the city has to offer. I would definitely stay here again on my next trip to Chicago.""",chatGPT,chatGPT,54.8825,73.36,14.58,10.42
52,"""I recently stayed at the Hotel Allegro Chicago and was extremely impressed by the high level of service and comfort provided. The staff were attentive and helpful, the room was spacious and well-appointed, and the location was perfect for exploring the city. I would highly recommend this hotel to anyone visiting Chicago.""",chatGPT,chatGPT,45.242956,74.95,7.69,9.62
53,"""The Hotel Allegro Chicago was a fantastic choice for my recent trip to the city. The staff were friendly and welcoming, the room was clean and comfortable, and the hotel's location was perfect for accessing all of the city's best attractions. I would definitely stay here again.""",chatGPT,chatGPT,55.933333,82.46,12.77,12.77
54,"""I recently stayed at Hotel Allegro Chicago and it was an exceptional experience. The room was beautifully appointed and extremely comfortable, with all the amenities I could need. The staff was friendly, professional and always willing to go above and beyond to make my stay enjoyable. The location was perfect, with easy access to all the city's best attractions. I highly recommend this hotel to anyone visiting Chicago.""",chatGPT,chatGPT,41.248647,75.75,8.82,10.29
55,"""Hotel Allegro Chicago exceeded all of my expectations. The staff was incredibly friendly and accommodating, and the room was beautifully appointed and extremely comfortable. The location was perfect, with easy access to all the city's best attractions. I had a wonderful stay and would definitely return. I highly recommend this hotel.""",chatGPT,chatGPT,37.234941,46.7,9.8,11.76
56,"""I recently stayed at Hotel Allegro Chicago and it was a fantastic experience. The room was clean and comfortable, with great views of the city. The staff was friendly and helpful, and the location was perfect for exploring the city. The hotel amenities were top-notch, from the fitness center to the on-site restaurant. I highly recommend this hotel.""",chatGPT,chatGPT,59.295,93.52,10.34,13.79
57,"""I had a fantastic stay at the Hotel Allegro Chicago. The staff were friendly and attentive, the room was clean and comfortable, and the hotel's location was perfect for accessing all of the city's best attractions. I would definitely stay here again.""",chatGPT,chatGPT,55.653571,70.33,16.67,11.9
58,"""The Hotel Allegro Chicago was an excellent choice for my recent trip. The room was clean, comfortable, and well-appointed. The staff were friendly and accommodating, and went above and beyond to make my stay enjoyable. The location was also great, with easy access to all the city's best attractions. I would highly recommend this hotel to anyone visiting Chicago.""",chatGPT,chatGPT,52.245,77.08,11.86,11.86
59,"""I had an amazing stay at the Hotel Allegro Chicago. The staff were incredibly friendly and helpful, the room was clean and comfortable, and the hotel's location was perfect for experiencing all the city has to offer. I would definitely stay here again on my next trip to Chicago.""",chatGPT,chatGPT,52.134218,68.5,10.2,12.24
60,"""I recently stayed at the Hotel Allegro Chicago and was extremely impressed with the high level of service and comfort provided. The staff were friendly and attentive, the room was spacious and well-appointed, and the location was perfect for exploring the city. I highly recommend this hotel to anyone visiting Chicago.""",chatGPT,chatGPT,44.445513,79.1,9.8,9.8
61,"""The Amalfi Hotel Chicago exceeded all of my expectations. The room was spacious and clean, with beautiful views of the city. The staff were incredibly friendly and helpful, and the location was perfect for exploring all that Chicago has to offer. Highly recommend!""",chatGPT,chatGPT,52.300494,89.52,9.3,13.95
62,"""I had a fantastic stay at the Amalfi Hotel Chicago. The room was comfortable and well-appointed, and the staff went above and beyond to make sure I had everything I needed. The location was great, with easy access to all the best attractions in the city. Highly recommend!""",chatGPT,chatGPT,63.184923,94.18,8.33,8.33
63,"""I recently stayed at the Amalfi Hotel Chicago and it was a truly wonderful experience. The room was stylish and comfortable, with all the amenities I could need. The staff were incredibly friendly and helpful, and the location was perfect for exploring the city. Highly recommend!""",chatGPT,chatGPT,48.032065,72.44,8.7,13.04
64,"""The Amalfi Hotel Chicago is a fantastic choice for anyone visiting the city. The room was comfortable and well-appointed, with beautiful views of the city. The staff were incredibly friendly and helpful, and the location was perfect for exploring all that Chicago has to offer. Highly recommend!""",chatGPT,chatGPT,46.605,92.17,10.64,14.89
65,"""I had an amazing stay at the Amalfi Hotel Chicago. The room was comfortable and well-appointed, and the staff went above and beyond to make sure I had everything I needed. The location was great, with easy access to all the best attractions in the city. Highly recommend!""",chatGPT,chatGPT,63.184923,94.18,6.25,8.33
66,"""The Amalfi Hotel Chicago was the perfect choice for my recent trip to the city. The room was comfortable and clean, with beautiful views of the city. The staff were incredibly friendly and helpful, and the location was perfect for exploring all that Chicago has to offer. Highly recommend!""",chatGPT,chatGPT,58.005332,94.11,12.24,16.33
67,"""I had a wonderful stay at the Amalfi Hotel Chicago. The room was comfortable and well-appointed, and the staff went above and beyond to make sure I had everything I needed. The location was great, with easy access to all the best attractions in the city. Highly recommend!""",chatGPT,chatGPT,63.184923,94.18,8.33,8.33
68,"""The Amalfi Hotel Chicago was a great choice for my recent trip to the city. The room was comfortable and clean, with beautiful views of the city. The staff were incredibly friendly and helpful, and the location was perfect for exploring all that Chicago has to offer. Highly recommend!""",chatGPT,chatGPT,59.731862,94.11,12.24,16.33
69,"""I recently stayed at the Amalfi Hotel Chicago and had a fantastic experience. The room was comfortable and well-appointed, and the staff went above and beyond to make sure I had everything I needed. The location was great, with easy access to all the best attractions in the city. Highly recommend!""",chatGPT,chatGPT,56.978462,91.99,7.84,7.84
70,"""The Amalfi Hotel Chicago was the perfect choice for my recent visit to the city. The room was comfortable and clean, with beautiful views of the city. The staff were incredibly friendly and helpful, and the location was perfect for exploring all that Chicago has to offer. Highly recommend!""",chatGPT,chatGPT,56.278801,94.11,12.24,16.33
71,"""I had a great stay at the Amalfi Hotel Chicago. The room was comfortable and well-appointed, and the staff went above and beyond to make sure I had everything I needed. The location was great, with easy access to all the best attractions in the city. Highly recommend!""",chatGPT,chatGPT,66.637985,94.18,8.33,8.33
72,"""The Amalfi Hotel Chicago was a fantastic choice for my recent trip to the city. The room was comfortable and clean, with beautiful views of the city. The staff were incredibly friendly and helpful, and the location was perfect for exploring all that Chicago has to offer. Highly recommend!""",chatGPT,chatGPT,56.278801,94.11,12.24,16.33
73,"The Amalfi Hotel Chicago exceeded my expectations! The room was spacious, clean and well-appointed. The staff were friendly and helpful, and the location was perfect for exploring the city. I would highly recommend this hotel to anyone visiting Chicago.",chatGPT,chatGPT,46.52,68.35,7.69,12.82
74,"I had a wonderful stay at the Amalfi Hotel Chicago. The room was comfortable and had all the amenities I needed. The staff were friendly and accommodating, and the location was perfect for sightseeing. I will definitely be back!",chatGPT,chatGPT,53.769519,53.56,10.26,10.26
75,"My family and I had a great time at the Amalfi Hotel Chicago. The room was clean and comfortable, and the staff were welcoming and helpful. The location was convenient for visiting all the attractions in Chicago. We would definitely stay here again.",chatGPT,chatGPT,58.20282,57.83,9.3,11.63
76,"The Amalfi Hotel Chicago was a great choice for my business trip. The room was comfortable and quiet, and the staff were professional and friendly. The location was also perfect for my meetings. I would definitely stay here again.",chatGPT,chatGPT,62.446442,31.07,12.82,10.26
77,"I had a fantastic stay at the Amalfi Hotel Chicago. The room was clean, comfortable, and well-appointed. The staff were friendly and helpful, and the location was perfect for exploring the city. I would highly recommend this hotel.",chatGPT,chatGPT,60.277212,74.45,13.16,18.42
78,"""I recently stayed at the Amalfi Hotel Chicago and was thoroughly impressed with my experience. The hotel is beautifully designed with a modern and sleek aesthetic. The room was spacious, clean and well-appointed with all the amenities I needed. The staff was incredibly friendly and helpful, always willing to go above and beyond to make my stay comfortable. The location is great, with easy access to all the best attractions in the city. I would highly recommend this hotel to anyone visiting Chicago, and I know I will definitely be back for my next trip to the city.""",chatGPT,chatGPT,54.214773,78.57,9.18,8.16
79,"My stay at the Amalfi Hotel Chicago was wonderful. The room was clean, comfortable, and well-appointed. The staff were friendly and helpful, and the location was perfect for visiting the city. I would definitely recommend this hotel.",chatGPT,chatGPT,54.708289,59.12,13.51,18.92
80,"I recently stayed at the Amalfi Hotel Chicago and had a great experience. The room was clean and comfortable, and the staff were friendly and helpful. The location was also perfect for exploring the city. I would definitely stay here again.",chatGPT,chatGPT,58.18247,41.16,12.2,14.63
81,"My stay at the Ambassador East Hotel was fantastic. The room was spacious, clean, and well-appointed. The staff were friendly and helpful, and the location was perfect for visiting the city. I would highly recommend this hotel.",chatGPT,chatGPT,65.839868,66.85,13.51,16.22
82,"""I recently stayed at Ambassador East Hotel Chicago and it was an exceptional experience. The room was beautifully appointed and extremely comfortable, with all the amenities I could need. The staff was friendly, professional and always willing to go above and beyond to make my stay enjoyable. The location was perfect, with easy access to all the city's best attractions. I highly recommend this hotel to anyone visiting Chicago.""",chatGPT,chatGPT,40.793217,76,10.14,10.14
83,"""Ambassador East Hotel Chicago exceeded all of my expectations. The staff was incredibly friendly and helpful, and the room was beautifully appointed and extremely comfortable. The location was perfect, with easy access to all the city's best attractions. I had a wonderful stay and would definitely return. I highly recommend this hotel.""",chatGPT,chatGPT,41.721308,47.73,11.54,13.46
84,"""I recently stayed at Ambassador East Hotel Chicago and it was a fantastic experience. The room was clean and comfortable, with great views of the city. The staff was friendly and helpful, and the location was perfect for exploring the city. The hotel amenities were top-notch, from the fitness center to the on-site restaurant. I highly recommend this hotel.""",chatGPT,chatGPT,58.537246,93.46,11.86,13.56
85,"""Ambassador East Hotel Chicago was a great choice for my stay in the city. The room was comfortable and well-appointed, and the staff were friendly and helpful. The location was perfect for exploring the city, with easy access to all the best attractions. I would definitely stay here again.""",chatGPT,chatGPT,62.1715,86.45,12.24,10.2
86,"""I recently stayed at Ambassador East Hotel Chicago and it was a wonderful experience. The room was clean and comfortable, and the staff was friendly and helpful. The location was perfect for exploring the city, and I loved being close to all the best attractions. I highly recommend this hotel.""",chatGPT,chatGPT,57.0955,63.53,16,16
87,"My stay at the Ambassador East Hotel was wonderful. The room was clean, comfortable, and well-appointed. The staff were friendly and helpful, and the location was perfect for visiting the city. I would definitely recommend this hotel.",chatGPT,chatGPT,56.934605,59.12,16.22,18.92
88,"I recently stayed at the Ambassador East Hotel and had a great experience. The room was clean and comfortable, and the staff were friendly and helpful. The location was also perfect for exploring the city. I would definitely stay here again.",chatGPT,chatGPT,60.245884,41.16,14.63,14.63
89,"My stay at the Ambassador East Hotel was fantastic. The room was clean, comfortable, and well-appointed. The staff were friendly and helpful, and the location was perfect for visiting the city. I would highly recommend this hotel.",chatGPT,chatGPT,61.387237,66.85,16.22,18.92
90,"I had a great stay at the Ambassador East Hotel. The room was clean, comfortable, and well-appointed. The staff were friendly and helpful, and the location was perfect for exploring the city. I would definitely stay here again.",chatGPT,chatGPT,66.784904,60.19,15.79,15.79
91,"The Ambassador East Hotel exceeded my expectations! The room was spacious, clean, and well-appointed. The staff were friendly and helpful, and the location was perfect for visiting the city. I would highly recommend this hotel.",chatGPT,chatGPT,56.7,65.15,11.43,14.29
92,"I had a wonderful stay at the Ambassador East Hotel. The room was comfortable and had all the amenities I needed. The staff were friendly and helpful, and the location was perfect for sightseeing. I will definitely be back!",chatGPT,chatGPT,62.446442,53.56,12.82,12.82
93,"My family and I had a great time at the Ambassador East Hotel. The room was clean and comfortable, and the staff were welcoming and helpful. The location was convenient for visiting all the attractions in the city. We would definitely stay here again.",chatGPT,chatGPT,63.001818,65.33,11.36,11.36
94,"The Ambassador East Hotel was a great choice for my business trip. The room was comfortable and quiet, and the staff were professional and friendly. The location was also perfect for my meetings. I would definitely stay here again.",chatGPT,chatGPT,64.615673,31.07,15.38,10.26
95,"I had a fantastic stay at the Ambassador East Hotel. The room was clean, comfortable, and well-appointed. The staff were friendly and helpful, and the location was perfect for exploring the city. I would highly recommend this hotel.",chatGPT,chatGPT,62.446442,74.45,15.79,18.42
96,"The Ambassador East Hotel was my go-to choice for my recent trip to the city. The room was clean, comfortable and well-appointed with all the amenities I needed. The staff were friendly and helpful, and the location was perfect for exploring the city. I would definitely recommend this hotel to anyone visiting the city.",chatGPT,chatGPT,56.660714,83.52,9.26,11.11
97,"I recently had the pleasure of staying at the Ambassador East Hotel and it was a wonderful experience. The room was comfortable and had all the amenities I needed. The staff were friendly and attentive, and the location was perfect for sightseeing. I will definitely be back!",chatGPT,chatGPT,54.50875,55.01,12.77,10.64
98,"My stay at the Ambassador East Hotel was excellent! The room was spacious, clean and well-appointed. The staff were friendly and helpful, and the location was perfect for visiting the city. I would highly recommend this hotel to anyone.",chatGPT,chatGPT,63.44,68.35,12.82,15.38
99,"I recently stayed at the Ambassador East Hotel for a business trip and it was a great experience. The room was comfortable, quiet and had all the amenities I needed. The staff were professional and friendly, and the location was perfect for my meetings. I will definitely be back!",chatGPT,chatGPT,59.731862,56.86,12.24,8.16
100,"I had an amazing stay at the Ambassador East Hotel. The room was clean, comfortable and well-appointed. The staff were friendly and helpful, and the location was perfect for exploring the city. I would highly recommend this hotel to anyone visiting the city.",chatGPT,chatGPT,57.233636,81.67,11.63,16.28
101,"I recently stayed at the Conrad Chicago and had an amazing experience. The room was spacious, clean, and well-appointed with all the amenities I needed. The staff were friendly and helpful, and the location was perfect for exploring the city. I would definitely recommend this hotel to anyone visiting Chicago.",chatGPT,chatGPT,47.917279,74.19,6,12
102,"The Conrad Chicago exceeded my expectations! The room was comfortable and had all the amenities I needed. The staff were friendly and helpful, and the location was perfect for sightseeing. I will definitely be back!",chatGPT,chatGPT,52.925179,39.7,8.57,11.43
103,"I recently stayed at the Conrad Chicago and was thoroughly impressed with my experience. The hotel staff were incredibly friendly and accommodating, and went out of their way to ensure that my stay was comfortable. The room was spacious and well-appointed, and the bed was incredibly comfortable. I also enjoyed the beautiful view of the city from my room. Overall, I would highly recommend the Conrad Chicago to anyone looking for a luxurious and comfortable stay in the city.",chatGPT,chatGPT,46.775,72.02,8.86,10.13
104,"The Conrad Chicago exceeded all of my expectations. From the moment I walked into the hotel, I was impressed with the stylish and modern decor. The room was spotless, and the amenities were top-notch. The bed was so comfortable that I didn't want to get out of it! The staff were extremely friendly and helpful, and always went above and beyond to make my stay as enjoyable as possible. I would highly recommend this hotel to anyone visiting Chicago.",chatGPT,chatGPT,61.114167,65.25,7.59,7.59
105,"I recently had the pleasure of staying at the Conrad Chicago and it was an incredible experience. The hotel is located in a great spot in the city, and is within walking distance of many of the city's best attractions. The room was spacious, clean and comfortable. The staff were incredibly friendly and helpful, and always went out of their way to make sure I had everything I needed. I would highly recommend this hotel to anyone visiting Chicago.",chatGPT,chatGPT,55.866354,80.82,8.86,10.13
106,"The Conrad Chicago is a fantastic hotel located in the heart of the city. The room was spacious, well-appointed and spotless. The bed was incredibly comfortable and I had a great night's sleep. The staff were friendly, professional and always willing to help with anything I needed. I also enjoyed the hotel's restaurant, which had delicious food and great service. I would highly recommend this hotel to anyone visiting Chicago.",chatGPT,chatGPT,55.412899,61.07,8.57,11.43
107,"I recently stayed at the Conrad Chicago and was blown away by the level of service and luxury provided by the hotel. The room was spacious, well-appointed, and impeccably clean. The bed was incredibly comfortable and I had a great night's sleep. The staff were friendly and attentive, always going above and beyond to make my stay as enjoyable as possible. I would highly recommend this hotel to anyone looking for a luxurious and comfortable stay in Chicago.",chatGPT,chatGPT,50.511924,80.69,11.54,8.97
108,"I recently stayed at the Conrad Chicago and had a great experience. The room was clean and comfortable, and the staff were friendly and helpful. The location was also perfect for exploring the city. I would definitely stay here again.",chatGPT,chatGPT,61.325,39.7,12.5,15
